741,fix: only check last message for agent call ,mhuggins7278,2025-07-07T17:10:59Z,https://github.com/sst/opencode/pull/741
737,fix: set optional provider attributes from nullable to nullable optional,ryanjdillon,2025-07-07T07:19:38Z,https://github.com/sst/opencode/pull/737
722,feat(mcp): add support to claude code style .mcp.json project scoped mcps,AdamAugustinsky,2025-07-06T02:53:47Z,https://github.com/sst/opencode/pull/722
712,MCP tool schema transformation for OpenAI/Azure providers,ribelo,2025-07-05T12:52:42Z,https://github.com/sst/opencode/pull/712
697,ci: fix setup-go cache dependency path,alcpereira,2025-07-05T01:13:54Z,https://github.com/sst/opencode/pull/697
696,chore: bump bun version to 1.2.18,alcpereira,2025-07-05T01:09:47Z,https://github.com/sst/opencode/pull/696
693,/editor: non-successful editor exits should keep the text in the textarea,Schniz,2025-07-04T20:36:26Z,https://github.com/sst/opencode/pull/693
661,fix: prevent app hanging when executing sudo commands,delorenj,2025-07-03T18:03:03Z,https://github.com/sst/opencode/pull/661
638,fix: proper message for rate limit hit on anthropic provider,IlyaGulya,2025-07-03T07:48:18Z,https://github.com/sst/opencode/pull/638
636,refactor: centralize todo status and priority enums,salignatmoandal,2025-07-03T07:19:03Z,https://github.com/sst/opencode/pull/636
634,feat: Add Gemini pricing tier config option,pschoudhary-dot,2025-07-03T05:48:21Z,https://github.com/sst/opencode/pull/634
612,feat(formatter): Add detekt as Kotlin formatter,MarcelBochtler,2025-07-02T14:07:59Z,https://github.com/sst/opencode/pull/612
580,feat: Add config flag to filter provider models,ryanjdillon,2025-07-01T14:35:48Z,https://github.com/sst/opencode/pull/580
568,fix: enable image file reading in read tool (fixes #451),morgvanny,2025-07-01T00:30:04Z,https://github.com/sst/opencode/pull/568
562,chore: add `flake.nix` together `nix-direnv` support for development …,kedom1337,2025-06-30T19:07:55Z,https://github.com/sst/opencode/pull/562
540,Fix keypad input not working in TUI textarea component,neominik,2025-06-29T16:49:43Z,https://github.com/sst/opencode/pull/540
533,feat: add print mode flag to run command,monotykamary,2025-06-29T10:21:32Z,https://github.com/sst/opencode/pull/533
509,docs: clarify MCP server configuration,aspiers,2025-06-28T15:58:07Z,https://github.com/sst/opencode/pull/509
503,fix: re-enable history shortcuts,jakst,2025-06-28T14:36:38Z,https://github.com/sst/opencode/pull/503
481,feat: hotkeys,Tech0001,2025-06-27T20:19:23Z,https://github.com/sst/opencode/pull/481
479,feat: provider selection,Tech0001,2025-06-27T19:15:27Z,https://github.com/sst/opencode/pull/479
466,feat: export local and view exported & project sessions in web UI,ndraiman,2025-06-27T15:19:49Z,https://github.com/sst/opencode/pull/466
429,🔴 Fix HIGH Severity CVE-2023-4863,ColeMurray,2025-06-26T19:57:57Z,https://github.com/sst/opencode/pull/429
418,feat(Discord): add rich presence support,enchantednatures,2025-06-26T15:12:56Z,https://github.com/sst/opencode/pull/418
